pdf_name,chunk_number,total_chunks,pages,question,option_A,option_B,option_C,option_D,correct_answer
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",How does a large language model generate text?,By being trained on specific text to generate,By assigning probabilities to sequences of words and sampling possible next words,By learning to predict the next word only,By using a rule-based approach,B) By assigning probabilities to sequences of words and sampling possible next words
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",What type of knowledge does a large language model learn through pretraining?,Mathematical knowledge,Common sense knowledge,Visual recognition knowledge,Language knowledge,D) Language knowledge
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",Which method does a large language model use to learn a lot of useful language knowledge?,By being fine-tuned on specific tasks,By being trained on a lot of text,By using a rule-based approach,By using a neural network,B) By being trained on a lot of text
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which type of language model is referred to as 'autoregressive' or 'left-to-right'?,Decoder-only model,Encoder-only model,Encoder-decoder model,Transformer model,A) Decoder-only model
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which language model type gets bidirectional context and can condition on future words?,Decoder-only model,Encoder-only model,Encoder-decoder model,Transformer model,B) Encoder-only model
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which term is used to describe decoder-only models in the context of language models?,Causal language models,Autoregressive language models,Left-to-right language models,Encoder-decoder language models,A) Causal language models
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which language model type is best suited for generating text in a left-to-right manner?,Decoder-only model,Encoder-only model,Encoder-decoder model,Transformer model,A) Decoder-only model
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which model type is used for generating text but cannot condition on future words?,Decoder-only model,Encoder-only model,Transformer model,Recurrent neural network,A) Decoder-only model
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which model type gets bidirectional context and can condition on future words?,Decoder-only model,Encoder-only model,Transformer model,Encoder-decoder model,B) Encoder-only model
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which model type is popular for machine translation tasks?,Decoder-only model,Encoder-only model,Transformer model,Encoder-decoder model,D) Encoder-decoder model
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which model type is used to train models by predicting words from surrounding words on both sides?,Decoder-only model,Encoder-only model,Masked Language Models,BERT family,C) Masked Language Models
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",Which model type is used for generating text left-to-right?,Decoder-only model,Encoder-only model,Transformer model,RNN model,A) Decoder-only model
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",Which type of language model can't condition on future words?,Decoder-only model,Encoder-only model,Transformer model,RNN model,B) Encoder-only model
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",Which model type gets bidirectional context and can condition on future?,Decoder-only model,Encoder-only model,Transformer model,RNN model,C) Transformer model
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9","Which term is another name for causal LLMs, autoregressive LLMs, and left-to-right LLMs?",Decoder-only models,Encoder-only models,Transformer models,Language models,D) Language models
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11","Given the sentence 'I like Jackie Chan', which word does a transformer-based language model predict comes next based on the context?",positive,negative,sentiment,summary,A) positive
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",Which task can be cast as word prediction in NLP?,Text summarization,Question answering,Sentiment analysis,Text generation,B) Question answering
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",What is the role of the encoder in an encoder-decoder model?,Generates words left-to-right,Gets bidirectional context,Conditions on future words,Builds strong representations,D) Builds strong representations
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",Which token is used to indicate that a summary should be generated in text summarization?,tl;dr,summary,question,answer,A) tl;dr
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13","Given the sentence 'I like Jackie Chan', which word is more probable to come next based on the sentiment analysis?",positive,negative,sentiment,Chan,A) positive
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13",Which token should be added after 'Who wrote the book ‘‘The Origin of Species’' for question answering using a language model?,Charles,question,Darwin,answer,A) Charles
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13",What is the role of the token 'tl;dr' in text summarization using a language model?,It is a token for suggesting an answer in question answering,It is a token for indicating the start of a long text summarization text,It is a token for indicating the end of a long text summarization text and requesting a shorter summary,It is a token for indicating the start of a question in question answering,C) It is a token for indicating the end of a long text summarization text and requesting a shorter summary
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13",Which model architecture is used for modern language models?,RNN,CNN,Transformer,LSTM,C) Transformer
notes/LLM_cs124_week7_2025.pdf,7,"13, 14, 15",Which type of system is used for language modeling in modern approaches?,Stack of neural networks called transformers,Recurrent neural networks,Convolutional neural networks,Long Short-Term Memory networks,A) Stack of neural networks called transformers
notes/LLM_cs124_week7_2025.pdf,7,"13, 14, 15",Which term is used to describe the modern approach for language modeling?,Transformer-based language modeling,Recurrent neural network language modeling,Convolutional neural network language modeling,Long Short-Term Memory network language modeling,A) Transformer-based language modeling
notes/LLM_cs124_week7_2025.pdf,7,"13, 14, 15",Which neural network architecture is the foundation of modern language models?,Stack of neural networks called transformers,Recurrent neural networks,Convolutional neural networks,Long Short-Term Memory networks,A) Stack of neural networks called transformers
notes/LLM_cs124_week7_2025.pdf,7,"13, 14, 15",Which term is used to describe the large neural network models used for language modeling?,Transformers,Language models,Neural networks,Stacks of neural networks,B) Language models
notes/LLM_cs124_week7_2025.pdf,8,"15, 16, 17",Who proposed the idea of replacing RNNs with self-attention in the Transformer architecture?,Ashish Vaswani,Noam Shazeer,Jakob Uszkoreit,Niki Parmar,A) Ashish Vaswani
notes/LLM_cs124_week7_2025.pdf,8,"15, 16, 17",Which researchers designed and implemented the first Transformer models?,Ashish Vaswani and Illia Polosukhin,Noam Shazeer and Llion Jones,Jakob Uszkoreit and Niki Parmar,Lukasz Kaiser and Aidan Gomez,A) Ashish Vaswani and Illia Polosukhin
notes/LLM_cs124_week7_2025.pdf,8,"15, 16, 17",Which attention mechanism was proposed by Noam Shazeer in the Transformer architecture?,Scaled dot-product attention,Multi-head attention,Parameter-free position representation,Self-attention,A) Scaled dot-product attention
notes/LLM_cs124_week7_2025.pdf,8,"15, 16, 17",In which year was the Transformer architecture proposed?,2015,2017,2018,2019,B) 2017
notes/LLM_cs124_week7_2025.pdf,9,"17, 18, 19",Which event marked the beginning of the use of GPUs in deep learning?,The discovery of Static Word Embeddings in 2013,The introduction of Multi-Task Learning in 2008,The emergence of GPUs in 2004,The development of Transformers in 2017,C) The emergence of GPUs in 2004
notes/LLM_cs124_week7_2025.pdf,9,"17, 18, 19","Which technology was re-discovered in 2013, after its initial discovery in 1990?",Multi-Task Learning,Neural Language Model,Static Word Embeddings,Attention,C) Static Word Embeddings
notes/LLM_cs124_week7_2025.pdf,9,"17, 18, 19",Which technology was introduced after the emergence of Transformers in 2017?,Contextual Word Embeddings and Pretraining,Prompting,Stacked Transformer Blocks,Logits,A) Contextual Word Embeddings and Pretraining
notes/LLM_cs124_week7_2025.pdf,9,"17, 18, 19",Which component of a Transformer model processes the input tokens and generates the input encoding?,Language Modeling Head,Input Encoding,Stacked Transformer Blocks,Next token,B) Input Encoding
notes/LLM_cs124_week7_2025.pdf,10,"19, 20, 21","Given the context of the lecture, which type of word embeddings are static?",Contextual embeddings,Static embeddings (word2vec),Transformer block embeddings,Input token embeddings,B) Static embeddings (word2vec)
notes/LLM_cs124_week7_2025.pdf,10,"19, 20, 21",Why is it important for word embeddings to reflect the meaning of a word in different contexts?,To make the model more complex,To improve the model's ability to understand the meaning of words,To reduce the number of input tokens,To make the model faster,B) To improve the model's ability to understand the meaning of words
notes/LLM_cs124_week7_2025.pdf,10,"19, 20, 21",Which method is used to compute contextual embeddings according to the lecture?,Static embedding lookup,Word2vec,Attention mechanism,Transformer blocks,C) Attention mechanism
notes/LLM_cs124_week7_2025.pdf,10,"19, 20, 21","Consider the sentence 'The chicken didn't cross the road because it was too tired'. In the context of the lecture, which word's meaning is being represented in a static embedding?",Chicken,Road,Tired,Because,C) Tired
notes/LLM_cs124_week7_2025.pdf,13,"25, 26, 27","Given the self-attention mechanism, which equation calculates the score between a current focus of attention and a preceding context element?","score(xi, xj) = xi·xj","aij = softmax(score(xi, xj))",ai = Xj·iaijxj,"score(xi, xj) = qi·kj","D) score(xi, xj) = qi·kj"
notes/LLM_cs124_week7_2025.pdf,13,"25, 26, 27","In the self-attention mechanism, what is the role of the query vector qi?",It is used to project each input vector into its role as a value,It is used to compute the output for the current focus of attention,It is used to compare each input to all preceding inputs,It is used to normalize the scores to provide a probability distribution,C) It is used to compare each input to all preceding inputs
notes/LLM_cs124_week7_2025.pdf,13,"25, 26, 27",Which of the following equations calculates the output value ai for the current focus of attention?,ai = Xj·iaijxj,"aij = softmax(score(xi, xj))","score(xi, xj) = qi·kj",ai = Xjiaijvj,D) ai = Xjiaijvj
notes/LLM_cs124_week7_2025.pdf,13,"25, 26, 27","In the self-attention mechanism, what is the dimensionality of the key and query vectors?","dk and dv are both 512, d is 1⇥d","dk and dv are both 64, d is 1⇥d","dk and dv are both 512, d is 1⇥dk","dk and dv are both 64, d is 1⇥dv","B) dk and dv are both 64, d is 1⇥d"
notes/LLM_cs124_week7_2025.pdf,14,"27, 28, 29","Given the self-attention mechanism, which vector from the input sequence is used as the query in the dot product calculation with the key vectors?",Current focus element's key vector,Current focus element's value vector,Preceding input's key vector,Preceding input's value vector,C) Preceding input's key vector
notes/LLM_cs124_week7_2025.pdf,14,"27, 28, 29","In the self-attention mechanism, which vectors are normalized using a softmax function to create a vector of weights?",Query vectors,Key vectors,Value vectors,Input vectors,B) Key vectors
notes/LLM_cs124_week7_2025.pdf,14,"27, 28, 29",Which of the following vectors is used to compute the output for the current focus of attention in the self-attention mechanism?,Query vector,Key vector,Value vector,Softmax weight vector,C) Value vector
