pdf_name,chunk_number,total_chunks,pages,question,option_A,option_B,option_C,option_D,correct_answer
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",What is the primary function of a simple n-gram language model?,Assigns probabilities to sequences of words,Generates text by sampling possible next words,Translates text from one language to another,Classifies text into predefined categories,A) Assigns probabilities to sequences of words
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",How do large language models generate text?,By predicting the entire sequence of words,By sampling possible next words,By analyzing the context and meaning of the text,By using a predefined set of rules,B) By sampling possible next words
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",What is the primary goal of training a large language model?,To assign probabilities to sequences of words,To generate text by sampling possible next words,To learn a lot of useful language knowledge,To classify text into predefined categories,C) To learn a lot of useful language knowledge
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",What is a key difference between a simple n-gram language model and a large language model?,A simple n-gram model is trained on less text,A large language model is trained on counts computed from less text,A simple n-gram model generates text by sampling possible next words,A large language model assigns probabilities to sequences of words,A) A simple n-gram model is trained on less text
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",What is a consequence of training a large language model on a lot of text?,The model becomes less accurate,The model becomes more specialized,The model learns a lot of useful language knowledge,The model becomes more computationally expensive,C) The model learns a lot of useful language knowledge
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which type of large language model can generate text from a given prompt but cannot condition on future words?,Encoder-Decoder,Encoder,Decoder,Encoder-Decoder with Bidirectional Context,C) Decoder
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",What is another name for the type of large language model that generates text from a given prompt but cannot condition on future words?,Causal LLMs,Autoregressive LLMs,Left-to-Right LLMs,Generative LLMs,A) Causal LLMs
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which type of large language model architecture typically requires pretraining to build strong representations?,Decoder-Only,Encoder-Decoder,Encoder,Encoder with Bidirectional Context,C) Encoder
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which of the following is NOT a characteristic of decoder-only models?,Can generate text from a given prompt,Can condition on future words,Typically used for left-to-right prediction,Can be used for bidirectional context,B) Can condition on future words
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which type of large language model architecture is commonly used for tasks that require bidirectional context?,Decoder-Only,Encoder-Decoder,Encoder,Encoder with Bidirectional Context,D) Encoder with Bidirectional Context
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",What type of pretraining is typically used for BERT family models?,Predicting words from surrounding words on both sides,Predicting words from surrounding words on one side only,Mapping from one sequence to another,Generating words from a fixed starting point,A) Predicting words from surrounding words on both sides
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which type of architecture is typically used for machine translation and speech recognition tasks?,Decoder-only model,Encoder-only model,Encoder-Decoder model,Masked Language Model,C) Encoder-Decoder model
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",What is a key limitation of decoder-only models?,They can condition on future words,They can generate words from a fixed starting point,They can't condition on future words,They are only used for classification tasks,C) They can't condition on future words
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which type of pretraining is typically used for Masked Language Models?,Predicting words from surrounding words on one side only,Predicting words from surrounding words on both sides,Mapping from one sequence to another,Generating words from a fixed starting point,B) Predicting words from surrounding words on both sides
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",What is a key advantage of Encoder-Decoders compared to Decoder-only models?,They can only generate words from a fixed starting point,They can condition on future words,They can generate words from a fixed starting point and condition on future words,They can only predict words from surrounding words on one side,B) They can condition on future words
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",What type of tasks can be turned into tasks of predicting words?,Only machine translation tasks,"Many tasks, including machine translation",No tasks can be turned into tasks of predicting words,Only speech recognition tasks,"B) Many tasks, including machine translation"
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",What is the term used to describe decoder-only models that predict words left to right?,Autoregressive models,Bidirectional models,Left-to-right models,Causal models,D) Causal models
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",What is a characteristic of decoders that makes them 'nice to generate from'?,They can condition on future words,They can generate from a fixed context,They can’t condition on future words,They are only useful for machine translation,C) They can’t condition on future words
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",How does the type of pretraining differ based on the neural architecture?,It doesn’t differ at all,"It differs based on the specific architecture, but not the type of architecture",It differs based on the type of architecture and the natural use cases,"It differs based on the specific architecture, but not the natural use cases",C) It differs based on the type of architecture and the natural use cases
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",What is the name given to decoder-only models in today's lecture?,Encoder-Decoder models,Causal Language Models,Left-to-Right Language Models,Autoregressive Language Models,D) Autoregressive Language Models
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",What is the primary limitation of decoders in language models?,"They can only generate text from a given prefix, but cannot condition on future words.","They can condition on future words, but cannot generate text from a given prefix.","They can only predict a single word at a time, and cannot generate longer responses.","They are limited to generating text in a specific language, and cannot adapt to other languages.","A) They can only generate text from a given prefix, but cannot condition on future words."
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",How can we cast sentiment analysis as a word prediction task?,By giving the language model the sentence and asking it to predict the sentiment as a numerical value.,"By giving the language model the sentence and a token like 'positive' or 'negative', and asking it to predict which word comes next.",By giving the language model the sentence and asking it to predict the sentiment as a categorical label.,"By giving the language model the sentence and a token like 'positive' or 'negative', and asking it to predict the probability of each sentiment.","B) By giving the language model the sentence and a token like 'positive' or 'negative', and asking it to predict which word comes next."
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",What is the role of the language modeling head in the architecture shown in Figure 10.1?,It is responsible for generating the next token in the sequence.,It is responsible for conditioning on future words and generating the next token.,It is responsible for computing the probability distribution over all possible next tokens.,It is responsible for adding the generated token to the context as a prefix for generating the next token.,C) It is responsible for computing the probability distribution over all possible next tokens.
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",How can we cast question answering as a word prediction task?,"By giving the language model a question and a token like 'A:', and asking it to predict which word comes next.",By giving the language model a question and asking it to predict the answer as a numerical value.,"By giving the language model a question and a token like 'A:', and asking it to predict the probability of each possible answer.",By giving the language model a question and asking it to predict the answer as a categorical label.,"A) By giving the language model a question and a token like 'A:', and asking it to predict which word comes next."
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",What is the purpose of the token 'tl;dr' in the context of text summarization?,It is a placeholder for the summary text.,It is a token that suggests the language model should generate a shorter summary of the text.,It is a token that indicates the end of the summary text.,It is a token that suggests the language model should generate a longer summary of the text.,B) It is a token that suggests the language model should generate a shorter summary of the text.
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13",A language model is given the sentence 'I like Jackie Chan' and the word 'The sentiment of the sentence' as a prefix. What word would it predict as the next word in the sentence?,is positive,is negative,is funny,is interesting,A) is positive
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13",A language model is given the question 'Who wrote the book 'The Origin of Species'' and the token 'A:' as a prefix. What word would it predict as the next word in the answer?,Charles,Darwin,Galileo,Einstein,A) Charles
