pdf_name,chunk_number,total_chunks,pages,question,option_A,option_B,option_C,option_D,correct_answer
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",How does a large language model generate text?,By being trained on specific text to generate,By assigning probabilities to sequences of words and sampling possible next words,By learning to predict the next word only,By using a rule-based approach,B) By assigning probabilities to sequences of words and sampling possible next words
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",Which of the following is NOT a way a large language model generates text?,By assigning probabilities to sequences of words and sampling possible next words,By learning to predict the next word,By using a rule-based approach,By being trained on a specific text to generate,D) By being trained on a specific text to generate
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",A large language model is trained to do which of the following?,Assign probabilities to sequences of words and generate text by sampling possible next words,Learn a lot of useful language knowledge,Predict the next word in a sequence,Generate text by using a rule-based approach,B) Learn a lot of useful language knowledge
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5","Which type of language model is described as 'Nice to generate from, can't condition on future words'?",Decoder-only model,Encoder-only model,Encoder-decoder model,Transformer model,A) Decoder-only model
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which term is used to describe language models that can't condition on future words during generation?,Autoregressive models,Causal models,Left-to-right models,Generator models,A) Autoregressive models
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which type of language model gets bidirectional context and can condition on future words?,Decoder-only model,Encoder-only model,Encoder-decoder model,Transformer model,B) Encoder-only model
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which term is used to describe language models that have both encoder and decoder components?,Autoregressive models,Causal models,Encoder-decoder models,Transformer models,C) Encoder-decoder models
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which pretraining method is best suited for decoder-only models?,Masked language modeling,Next sentence prediction,Sequence-to-sequence prediction,Contrastive prediction,C) Sequence-to-sequence prediction
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which model type is used for generating text but cannot condition on future words?,Decoder-only model,Encoder-only model,Transformer model,Recurrent neural network,A) Decoder-only model
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which model type gets bidirectional context and can condition on future words?,Decoder-only model,Encoder-only model,Transformer model,Encoder-decoder model,B) Encoder-only model
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7","Which model type is popular for mapping from one sequence to another, such as machine translation and speech recognition?",Decoder-only model,Encoder-only model,Transformer model,Encoder-decoder model,D) Encoder-decoder model
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which type of pretraining is used for encoder-only models?,Predicting words from surrounding words on both sides,Predicting words left to right,Predicting words right to left,Predicting words based on future context,A) Predicting words from surrounding words on both sides
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which model type is used in the BERT family?,Decoder-only model,Encoder-only model,Transformer model,Encoder-decoder model,B) Encoder-only model
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",Which model type is used for generating text left-to-right?,Decoder-only model,Encoder-only model,Transformer model,RNN model,A) Decoder-only model
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",Which type of language model can't condition on future words?,Decoder-only model,Encoder-only model,Transformer model,RNN model,B) Encoder-only model
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",Which model type gets bidirectional context and can condition on future?,Decoder-only model,Encoder-only model,Transformer model,RNN model,C) Transformer model
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",Which pretraining method is best for decoder-only models?,Masked language modeling,Next sentence prediction,Autoregressive language modeling,Bidirectional language modeling,C) Autoregressive language modeling
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",Which term is another name for causal LLMs and autoregressive LLMs?,Decoder-only models,Encoder-only models,Left-to-right models,Transformer models,A) Decoder-only models
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11","Given the sentence 'I like Jackie Chan', which sentiment is more probable according to the language model?",Positive,Negative,Neutral,Question,A) Positive
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",Which task can be cast as word prediction in NLP?,Sentiment analysis,Question answering,Text summarization,Speech recognition,B) Question answering
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",Which token should be added to the context for generating the next token in left-to-right text completion?,the,and,a,tl;dr,A) the
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",Which type of language model is used for text summarization?,Decoder-only,Encoder-only,Encoder-decoder,Transformer-based,C) Encoder-decoder
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",Which word is most likely to follow 'The Origin of Species' in a language model?,Charles,Darwin,The,is,B) Darwin
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13","Given the sentence 'I like Jackie Chan', which word is more probable to come next based on the sentiment analysis?",positive,negative,sentiment,Chan,A) positive
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13",Which token should be added after 'Who wrote the book ‘‘The Origin of Species’' for question answering using a language model?,Charles,question,Darwin,answer,A) Charles
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13",Which task can be cast as word prediction using a language model?,Text summarization,Sentiment analysis,Question answering,Text generation,A) Text summarization
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13",Which token should be added after 'text' for text summarization using a language model?,tl;dr,summary,article,text,A) tl;dr
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13",Which model architecture is used for modern language models?,RNN,CNN,Transformer,LSTM,C) Transformer
notes/LLM_cs124_week7_2025.pdf,8,"15, 16, 17",Who proposed the idea of replacing RNNs with self-attention in the Transformer architecture?,Ashish Vaswani,Noam Shazeer,Jakob Uszkoreit,Niki Parmar,A) Ashish Vaswani
notes/LLM_cs124_week7_2025.pdf,8,"15, 16, 17",Which year did the Transformer architecture first appear in a paper?,2015,2017,2018,2019,B) 2017
notes/LLM_cs124_week7_2025.pdf,8,"15, 16, 17",Which team members were responsible for designing and implementing the first Transformer models?,Ashish Vaswani and Illia Polosukhin,Noam Shazeer and Niki Parmar,Jakob Uszkoreit and Llion Jones,"Ashish Vaswani, Noam Shazeer, Niki Parmar, and Llion Jones","D) Ashish Vaswani, Noam Shazeer, Niki Parmar, and Llion Jones"
notes/LLM_cs124_week7_2025.pdf,8,"15, 16, 17",Which machine translation task did the Transformer model achieve a new single-model state-of-the-art BLEU score on?,WMT 2014 English-to-German,WMT 2014 English-to-French,WMT 2015 English-to-Italian,WMT 2016 English-to-Spanish,B) WMT 2014 English-to-French
notes/LLM_cs124_week7_2025.pdf,8,"15, 16, 17",Which year did attention mechanisms first appear in the context of natural language processing?,2003,2012,2015,2018,C) 2015
notes/LLM_cs124_week7_2025.pdf,9,"17, 18, 19",Which event marked the beginning of the use of GPUs in deep learning?,The discovery of Static Word Embeddings in 2013,The introduction of Multi-Task Learning in 2008,The emergence of GPUs in 2004,The development of Transformers in 2017,C) The emergence of GPUs in 2004
notes/LLM_cs124_week7_2025.pdf,9,"17, 18, 19","Which technology was re-discovered in 2013, around the same time as the rise of Transformers?",Multi-Task Learning,Attention,Static Word Embeddings,Contextual Word Embeddings,C) Static Word Embeddings
notes/LLM_cs124_week7_2025.pdf,9,"17, 18, 19",Which deep learning technique was introduced before the emergence of Transformers?,Neural Language Model,Stacked Transformer Blocks,Input Encoding,Language Modeling Head,A) Neural Language Model
notes/LLM_cs124_week7_2025.pdf,9,"17, 18, 19",Which technology was used extensively in deep learning from 2012 onwards?,Multi-Task Learning,Transformers,GPUs,Contextual Word Embeddings,C) GPUs
notes/LLM_cs124_week7_2025.pdf,9,"17, 18, 19",Which deep learning component processes the input tokens and generates logits?,Language Modeling Head,Input Encoding,Stacked Transformer Blocks,Attention,A) Language Modeling Head
notes/LLM_cs124_week7_2025.pdf,10,"19, 20, 21","Given the context of the lecture, which type of word embeddings are static?",Contextual embeddings,Static embeddings (word2vec),Transformer block embeddings,Input token embeddings,B) Static embeddings (word2vec)
notes/LLM_cs124_week7_2025.pdf,10,"19, 20, 21",Which of the following is a problem with static word embeddings according to the lecture?,They are too complex,They don't reflect the meaning of a word in context,They are not widely used,They are computationally expensive,B) They don't reflect the meaning of a word in context
notes/LLM_cs124_week7_2025.pdf,10,"19, 20, 21",Which method is used to compute contextual embeddings according to the lecture?,Static embedding lookup,One-hot encoding,Attention mechanism,Transformer block processing,C) Attention mechanism
notes/LLM_cs124_week7_2025.pdf,10,"19, 20, 21","Consider the sentence 'The chicken crossed the road because it was too tired'. In the context of the lecture, which word's meaning is represented by its static embedding?",chicken,road,because,it,D) it
notes/LLM_cs124_week7_2025.pdf,10,"19, 20, 21",Which of the following is a type of embedding mentioned in the lecture that reflects the meaning of a word in different contexts?,Input token embeddings,Transformer block embeddings,Static embeddings (word2vec),Contextual embeddings,D) Contextual embeddings
notes/LLM_cs124_week7_2025.pdf,11,"21, 22, 23","Given the sentence 'The chicken didn't cross the road because it was too tired', which word is most likely to 'attend to' the word 'it'?",tired,chicken,road,because,A) tired
notes/LLM_cs124_week7_2025.pdf,11,"21, 22, 23",Which of the following contextual embeddings is most likely to have a different meaning when used in a different context?,The word 'is' in the sentence 'The cat is on the mat'.,The word 'is' in the sentence 'The cat is a mammal'.,The word 'mat' in the sentence 'The cat is on the mat'.,The word 'mat' in the sentence 'The cat is a mammal'.,C) The word 'mat' in the sentence 'The cat is on the mat'.
notes/LLM_cs124_week7_2025.pdf,11,"21, 22, 23",Which of the following words is most likely to 'attend to' the word 'it' in the sentence 'The chicken didn't cross the road because it was too wide'?,chicken,road,wide,because,C) wide
notes/LLM_cs124_week7_2025.pdf,11,"21, 22, 23",Which of the following words is least likely to have a different meaning depending on the surrounding words?,is,cat,mat,the,D) the
