pdf_name,chunk_number,total_chunks,pages,question,option_A,option_B,option_C,option_D,correct_answer
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",What is a primary function of both simple n-gram language models and large language models?,Assigning probabilities to word sequences,Encrypting text data,Translating languages,Summarizing text,A) Assigning probabilities to word sequences
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",How are large language models different from simple n-gram models in terms of training?,Large language models use encryption during training,Large language models are trained to guess the next word,Simple n-gram models learn language knowledge from text,Simple n-gram models generate text by sampling possible next words,B) Large language models are trained to guess the next word
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",Which statement best describes the training data for large language models?,Large language models are trained on text from a single source,Large language models only use synthesized data for training,Large language models are trained on a diverse set of texts,Large language models use small datasets for faster training,C) Large language models are trained on a diverse set of texts
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",What is a key difference between simple n-gram models and large language models regarding text generation?,Simple n-gram models can generate longer texts,Large language models do not rely on text generation,Large language models generate text by sampling possible next words,Simple n-gram models are trained on more text data,C) Large language models generate text by sampling possible next words
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3","Considering their training, why are large language models more effective in understanding language compared to simple n-gram models?",Because they can encrypt text,Because they are trained on diverse text data,Because they only generate short sequences,Because they are trained on synthesized data,B) Because they are trained on diverse text data
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which of the following models is referred to as a decoder-only language model?,BERT,GPT,Flan-T5,Whisper,B) GPT
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",What is the significant characteristic of decoder-only models?,Can condition on future words,Generates language from left to right,Provides bidirectional context,Both B and C,B) Generates language from left to right
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",How are language models like GPT and Claude typically pretrained?,Predicting the next word in a sequence,Conditioning on future words,Classifying text,Translating languages,A) Predicting the next word in a sequence
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which of the following architectures can condition on future words during pretraining?,Decoders,Encoders,Encoder-Decoders,All of the above,B) Encoders
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",What is a common term used to describe Autoregressive LLMs?,Predictive Language Models,Causal LLMs,Contextual Encoders,Bidirectional LLMs,B) Causal LLMs
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which of the following architectures cannot condition on future words when generating text?,Decoders,Encoders,Encoder-Decoders,Masked Language Models,A) Decoders
