pdf_name,chunk_number,total_chunks,pages,question,option_A,option_B,option_C,option_D,correct_answer
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",Which of the following best describes how large language models generate text?,By predicting the next word based on learned patterns,By memorizing exact phrases from the training data,By following strict grammatical rules,By randomly selecting words,A) By predicting the next word based on learned patterns
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",Why can large language models learn useful language knowledge even though they are pretrained only to predict words?,Because they are trained on a large amount of text,Because they use complex mathematical formulas,Because they are given explicit instructions during training,Because they are designed to understand context perfectly,A) Because they are trained on a large amount of text
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",How do large language models differ from simple n-gram models in terms of training?,Large language models are trained on a smaller dataset,Large language models are trained to guess the next word,Large language models do not learn from text,Large language models are only trained on specific topics,B) Large language models are trained to guess the next word
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3",Which of the following scenarios best illustrates the capability of large language models?,Predicting the next word in a sentence with high accuracy,Generating coherent and contextually relevant paragraphs,Memorizing and repeating predefined responses,Following step-by-step instructions without deviation,B) Generating coherent and contextually relevant paragraphs
notes/LLM_cs124_week7_2025.pdf,1,"1, 2, 3","In the context of large language models, what does the term 'pretrained' imply about their training process?",They are trained only once and cannot be further improved,They are trained to perform specific tasks like translation,They are trained to predict the next word in a sequence,They are trained to recognize images,C) They are trained to predict the next word in a sequence
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which type of large language model can generate text but cannot condition on future words during generation?,Decoder-only models,Encoder-decoder models,Bidirectional models,Transformer models,A) Decoder-only models
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",What is a key advantage of encoder models over decoder-only models?,They can generate text efficiently,They can condition on future words,They require less computational resources,They have stronger contextual understanding,D) They have stronger contextual understanding
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",Which of the following models is an example of a decoder-only architecture?,BERT,Flan-T5,GPT-3,HuBERT,C) GPT-3
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5","In the context of pretraining, which type of model architecture is typically used for tasks that require understanding of the entire sequence of input data?",Decoders,Encoders,Encoder-decoders,None of the above,B) Encoders
notes/LLM_cs124_week7_2025.pdf,2,"3, 4, 5",What is a common challenge in training encoder models compared to decoder-only models?,Generating text left to right,Conditioning on future context,Building strong representations,Efficient computation,C) Building strong representations
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7","Which of the following is a characteristic of decoder-only models like GPT, Claude, and Gemini?",They can condition on future words during generation.,They are trained using masked language modeling techniques.,They are typically used for machine translation tasks.,They generate text left-to-right without looking at future tokens.,D) They generate text left-to-right without looking at future tokens.
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",What is a key limitation of decoder-only models compared to encoder-decoder models?,They cannot generate text.,They require bidirectional context.,They cannot condition on future words during generation.,They are less accurate than encoder-decoder models.,C) They cannot condition on future words during generation.
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Which pretraining technique is commonly used for encoder models like BERT?,Masked Language Modeling (MLM),Causal Language Modeling,Left-to-right autoregressive modeling,Sequence-to-sequence training,A) Masked Language Modeling (MLM)
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",Why might an encoder-decoder model be preferred over a decoder-only model for a machine translation task?,Decoder-only models are computationally cheaper.,Encoder-decoder models can use bidirectional context.,Decoder-only models cannot handle sequential data.,Encoder-decoder models generate text from left to right.,B) Encoder-decoder models can use bidirectional context.
notes/LLM_cs124_week7_2025.pdf,3,"5, 6, 7",What is a potential advantage of using an encoder-decoder architecture for speech recognition tasks?,It can directly generate speech without converting to text first.,It requires less training data than other models.,It can map from acoustic inputs to text output effectively.,It is easier to fine-tune than other architectures.,C) It can map from acoustic inputs to text output effectively.
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",Which of the following is a natural use case for encoder-decoder architectures according to the lecture?,Generating text conditioned on future words,Machine translation from English to French,Creating a model that only generates words left to right,Building a model that cannot generate sequences,B) Machine translation from English to French
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",Why can't decoder-only models condition on future words during generation?,Because they are trained on bidirectional context,Because they predict words left to right without access to future information,Because they are designed to only generate one word at a time,Because they require additional input from the encoder,B) Because they predict words left to right without access to future information
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",What is a key advantage of encoder architectures over decoder-only models mentioned in the lecture?,They can generate text from scratch,They can condition on future words,They are easier to train,They are less complex,B) They can condition on future words
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9",Which of the following is NOT a type of pretraining mentioned for neural architectures in the lecture?,Causal LLMs,Autoregressive LLMs,Bidirectional LLMs,Left-to-right LLMs,C) Bidirectional LLMs
notes/LLM_cs124_week7_2025.pdf,4,"7, 8, 9","According to the lecture, what big idea can many tasks be turned into using modern language models?",Generating images,Predicting words,Classifying emotions,Translating videos,B) Predicting words
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",Which of the following is true about causal LLMs according to the lecture?,They can condition on future words during generation.,They generate words left to right without looking ahead.,They are also known as encoder-decoder models.,They require bidirectional attention mechanism.,B) They generate words left to right without looking ahead.
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11","In the context of sentiment analysis, how does a language model determine the sentiment of a sentence like 'I like Jackie Chan'?",By counting positive and negative words in the sentence.,By predicting the next word and checking if it is positive or negative.,By calculating the average sentiment score of the sentence.,By using a predefined dictionary of sentiments.,B) By predicting the next word and checking if it is positive or negative.
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11",What is the primary reason for using a left-to-right (autoregressive) approach in text completion tasks as described in the lecture?,To allow the model to condition on future words.,To make the training process faster.,"To ensure that the model generates text sequentially, considering past context.",To reduce the computational complexity of the model.,"C) To ensure that the model generates text sequentially, considering past context."
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11","In the task of question answering, how is the language model trained to provide a textual answer to a given question?",By predicting the exact answer word-by-word.,By predicting the next word after a token indicating the start of an answer.,By classifying the question into different categories.,By summarizing the question and providing a general response.,B) By predicting the next word after a token indicating the start of an answer.
notes/LLM_cs124_week7_2025.pdf,5,"9, 10, 11","Which of the following scenarios would be best suited for a decoder-only model, based on the lecture content?",A task that requires understanding the entire document before generating a summary.,"A task that involves generating a summary from a given text, where the model only needs to consider past context.",A task that necessitates bidirectional context for accurate predictions.,A task that requires the model to condition on future words while generating text.,"B) A task that involves generating a summary from a given text, where the model only needs to consider past context."
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13","Given the sentence 'I like Jackie Chan', which word would a language model most likely predict next to indicate positive sentiment?",dislike,enjoy,hate,negative,B) enjoy
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13","In the task of question answering, if a language model is given the question 'Who wrote the book “The Origin of Species”? A:', which word would it most likely predict next to complete the answer?",Charles,Einstein,Darwin,Newton,C) Darwin
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13","For text summarization, which token would typically follow a long text to signal the start of a summary?",summary,tl;dr,abstract,conclusion,B) tl;dr
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13","When performing sentiment analysis on the sentence 'I hate Jackie Chan', which word would a language model predict with higher probability to indicate negative sentiment?",positive,neutral,negative,like,C) negative
notes/LLM_cs124_week7_2025.pdf,6,"11, 12, 13","In the context of conditional generation for summarization, if a language model is given the text 'The Origin of Species was written by Charles', what word would it most likely predict next to complete the summary?",Darwin,Newton,Einstein,Galileo,A) Darwin
notes/LLM_cs124_week7_2025.pdf,7,"13, 14, 15","Given a prefix 'The quick brown', which transformer component would compute the probability of the next word being 'fox'?",Input Embedding Layer,Self-Attention Mechanism,Feedforward Network,Output Softmax Layer,D) Output Softmax Layer
notes/LLM_cs124_week7_2025.pdf,7,"13, 14, 15",Which of the following best describes the role of transformers in language modeling according to the lecture?,They are used to reduce the size of the model for faster computation.,They stack neural networks to improve the prediction of word probabilities.,They solely focus on the input data without considering the context.,They are responsible for decoding the final output into human-readable text.,B) They stack neural networks to improve the prediction of word probabilities.
notes/LLM_cs124_week7_2025.pdf,7,"13, 14, 15","If a large language model is trained to predict the next word after a given prefix, what is a critical aspect it needs to understand?",The exact meaning of each word in isolation,The grammatical structure of individual sentences,The context and relationships between words,The historical origin of the language being modeled,C) The context and relationships between words
notes/LLM_cs124_week7_2025.pdf,7,"13, 14, 15",What happens if we use a prefix 'I love' to compute the probability of the next word being 'you'? Which part of the transformer model ensures this prediction is context-aware?,The embedding layer converts words into fixed-size vectors.,The self-attention mechanism considers the entire sequence of words up to the current position.,The feedforward network processes each word independently.,The output softmax layer selects the most probable word.,B) The self-attention mechanism considers the entire sequence of words up to the current position.
